n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
16,30,0.0299184,1,0.0299184,0.0299184,0.0299184,467,1,467,467,467
16,30,0.00148541,1,0.00148541,0.00148541,0.00148541,15,1,15,15,15
16,30,0.00174751,1,0.00174751,0.00174751,0.00174751,19,1,19,19,19
16,30,0.000194021,1,0.000194021,0.000194021,0.000194021,1,1,1,1,1
16,30,0.000368392,1,0.000368392,0.000368392,0.000368392,3,1,3,3,3
16,30,0.100823,1,0.100823,0.100823,0.100823,1415,1,1415,1415,1415
16,30,0.000211468,1,0.000211468,0.000211468,0.000211468,1,1,1,1,1
16,30,0.0647556,1,0.0647556,0.0647556,0.0647556,999,1,999,999,999
16,30,0.0280953,1,0.0280953,0.0280953,0.0280953,369,1,369,369,369
16,30,0.0215916,1,0.0215916,0.0215916,0.0215916,277,1,277,277,277
16,30,0.0467615,1,0.0467615,0.0467615,0.0467615,593,1,593,593,593
16,30,0.000190898,1,0.000190898,0.000190898,0.000190898,1,1,1,1,1
16,30,0.00941107,1,0.00941107,0.00941107,0.00941107,117,1,117,117,117
16,30,0.000242495,1,0.000242495,0.000242495,0.000242495,1,1,1,1,1
16,30,0.000250907,1,0.000250907,0.000250907,0.000250907,1,1,1,1,1
16,30,0.0021896,1,0.0021896,0.0021896,0.0021896,23,1,23,23,23
16,30,0.0191643,1,0.0191643,0.0191643,0.0191643,303,1,303,303,303
16,30,0.000232735,1,0.000232735,0.000232735,0.000232735,1,1,1,1,1
16,30,0.00383374,1,0.00383374,0.00383374,0.00383374,41,1,41,41,41
16,30,0.00015623,1,0.00015623,0.00015623,0.00015623,1,1,1,1,1
16,30,0.0401897,1,0.0401897,0.0401897,0.0401897,507,1,507,507,507
16,30,0.0354664,1,0.0354664,0.0354664,0.0354664,731,1,731,731,731
16,30,0.000200514,1,0.000200514,0.000200514,0.000200514,1,1,1,1,1
16,30,0.00318917,1,0.00318917,0.00318917,0.00318917,35,1,35,35,35
16,30,0.000225655,1,0.000225655,0.000225655,0.000225655,1,1,1,1,1
16,30,0.0280588,1,0.0280588,0.0280588,0.0280588,395,1,395,395,395
16,30,0.189225,1,0.189225,0.189225,0.189225,2731,1,2731,2731,2731
16,30,0.000214812,1,0.000214812,0.000214812,0.000214812,1,1,1,1,1
16,30,0.00224433,1,0.00224433,0.00224433,0.00224433,23,1,23,23,23
16,30,0.0104275,1,0.0104275,0.0104275,0.0104275,127,1,127,127,127
16,30,0.102062,1,0.102062,0.102062,0.102062,1463,1,1463,1463,1463
16,30,0.0135117,1,0.0135117,0.0135117,0.0135117,155,1,155,155,155
16,30,0.00351464,1,0.00351464,0.00351464,0.00351464,29,1,29,29,29
16,30,0.000268878,1,0.000268878,0.000268878,0.000268878,1,1,1,1,1
16,30,0.000235256,1,0.000235256,0.000235256,0.000235256,1,1,1,1,1
16,30,0.0112568,1,0.0112568,0.0112568,0.0112568,123,1,123,123,123
16,30,0.00016759,1,0.00016759,0.00016759,0.00016759,1,1,1,1,1
16,30,0.0181776,1,0.0181776,0.0181776,0.0181776,241,1,241,241,241
16,30,0.0332844,1,0.0332844,0.0332844,0.0332844,467,1,467,467,467
16,30,0.000189153,1,0.000189153,0.000189153,0.000189153,1,1,1,1,1
16,30,0.0126532,1,0.0126532,0.0126532,0.0126532,137,1,137,137,137
16,30,0.361678,1,0.361678,0.361678,0.361678,5261,1,5261,5261,5261
16,30,0.000951911,1,0.000951911,0.000951911,0.000951911,11,1,11,11,11
16,30,0.00710825,1,0.00710825,0.00710825,0.00710825,85,1,85,85,85
