n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
6,80,0.00073461,1,0.00073461,0.00073461,0.00073461,76,1,76,76,76
6,80,0.000713458,1,0.000713458,0.000713458,0.000713458,76,1,76,76,76
6,80,0.000356301,1,0.000356301,0.000356301,0.000356301,38,1,38,38,38
6,80,0.000170256,1,0.000170256,0.000170256,0.000170256,15,1,15,15,15
6,80,0.000713062,1,0.000713062,0.000713062,0.000713062,76,1,76,76,76
6,80,0.000359129,1,0.000359129,0.000359129,0.000359129,36,1,36,36,36
6,80,0.000365546,1,0.000365546,0.000365546,0.000365546,38,1,38,38,38
6,80,0.000730765,1,0.000730765,0.000730765,0.000730765,76,1,76,76,76
6,80,0.000132184,1,0.000132184,0.000132184,0.000132184,10,1,10,10,10
6,80,0.000698259,1,0.000698259,0.000698259,0.000698259,76,1,76,76,76
6,80,0.000298342,1,0.000298342,0.000298342,0.000298342,29,1,29,29,29
6,80,0.000295843,1,0.000295843,0.000295843,0.000295843,29,1,29,29,29
6,80,0.000171648,1,0.000171648,0.000171648,0.000171648,13,1,13,13,13
6,80,0.000386117,1,0.000386117,0.000386117,0.000386117,43,1,43,43,43
6,80,0.000209786,1,0.000209786,0.000209786,0.000209786,17,1,17,17,17
6,80,0.000687496,1,0.000687496,0.000687496,0.000687496,76,1,76,76,76
6,80,0.000353117,1,0.000353117,0.000353117,0.000353117,38,1,38,38,38
6,80,0.000345089,1,0.000345089,0.000345089,0.000345089,29,1,29,29,29
6,80,0.000296789,1,0.000296789,0.000296789,0.000296789,29,1,29,29,29
6,80,0.00179549,1,0.00179549,0.00179549,0.00179549,187,1,187,187,187
6,80,0.000702331,1,0.000702331,0.000702331,0.000702331,76,1,76,76,76
6,80,0.000392562,1,0.000392562,0.000392562,0.000392562,43,1,43,43,43
6,80,0.000735291,1,0.000735291,0.000735291,0.000735291,76,1,76,76,76
6,80,0.00035367,1,0.00035367,0.00035367,0.00035367,38,1,38,38,38
6,80,0.000703412,1,0.000703412,0.000703412,0.000703412,76,1,76,76,76
6,80,0.000291283,1,0.000291283,0.000291283,0.000291283,29,1,29,29,29
6,80,0.000710054,1,0.000710054,0.000710054,0.000710054,76,1,76,76,76
6,80,0.000499982,1,0.000499982,0.000499982,0.000499982,51,1,51,51,51
6,80,0.000696068,1,0.000696068,0.000696068,0.000696068,76,1,76,76,76
6,80,0.000344356,1,0.000344356,0.000344356,0.000344356,29,1,29,29,29
6,80,0.000290423,1,0.000290423,0.000290423,0.000290423,29,1,29,29,29
6,80,0.000223192,1,0.000223192,0.000223192,0.000223192,20,1,20,20,20
6,80,0.000299409,1,0.000299409,0.000299409,0.000299409,29,1,29,29,29
6,80,0.000293966,1,0.000293966,0.000293966,0.000293966,29,1,29,29,29
6,80,0.000312864,1,0.000312864,0.000312864,0.000312864,29,1,29,29,29
6,80,0.000387216,1,0.000387216,0.000387216,0.000387216,43,1,43,43,43
6,80,0.00178194,1,0.00178194,0.00178194,0.00178194,187,1,187,187,187
6,80,0.00033337,1,0.00033337,0.00033337,0.00033337,29,1,29,29,29
6,80,0.000291535,1,0.000291535,0.000291535,0.000291535,29,1,29,29,29
6,80,0.0001719,1,0.0001719,0.0001719,0.0001719,15,1,15,15,15
6,80,0.000217728,1,0.000217728,0.000217728,0.000217728,20,1,20,20,20
6,80,0.000297796,1,0.000297796,0.000297796,0.000297796,29,1,29,29,29
6,80,0.000133509,1,0.000133509,0.000133509,0.000133509,10,1,10,10,10
6,80,0.000176592,1,0.000176592,0.000176592,0.000176592,15,1,15,15,15
6,80,0.000286153,1,0.000286153,0.000286153,0.000286153,29,1,29,29,29
6,80,0.000376859,1,0.000376859,0.000376859,0.000376859,36,1,36,36,36
6,80,0.000297807,1,0.000297807,0.000297807,0.000297807,29,1,29,29,29
6,80,0.000671575,1,0.000671575,0.000671575,0.000671575,76,1,76,76,76
6,80,0.000290234,1,0.000290234,0.000290234,0.000290234,29,1,29,29,29
6,80,0.000460326,1,0.000460326,0.000460326,0.000460326,45,1,45,45,45
6,80,0.000386606,1,0.000386606,0.000386606,0.000386606,43,1,43,43,43
6,80,0.000364463,1,0.000364463,0.000364463,0.000364463,38,1,38,38,38
6,80,0.000166452,1,0.000166452,0.000166452,0.000166452,14,1,14,14,14
6,80,0.000301256,1,0.000301256,0.000301256,0.000301256,29,1,29,29,29
6,80,0.000297542,1,0.000297542,0.000297542,0.000297542,29,1,29,29,29
6,80,0.000353996,1,0.000353996,0.000353996,0.000353996,38,1,38,38,38
6,80,0.000388969,1,0.000388969,0.000388969,0.000388969,43,1,43,43,43
6,80,0.0002863,1,0.0002863,0.0002863,0.0002863,29,1,29,29,29
6,80,0.000300929,1,0.000300929,0.000300929,0.000300929,29,1,29,29,29
6,80,0.00022379,1,0.00022379,0.00022379,0.00022379,20,1,20,20,20
6,80,0.000735931,1,0.000735931,0.000735931,0.000735931,76,1,76,76,76
6,80,0.000690182,1,0.000690182,0.000690182,0.000690182,76,1,76,76,76
6,80,0.000286307,1,0.000286307,0.000286307,0.000286307,29,1,29,29,29
6,80,0.000283652,1,0.000283652,0.000283652,0.000283652,29,1,29,29,29
6,80,0.000356231,1,0.000356231,0.000356231,0.000356231,36,1,36,36,36
6,80,0.000387226,1,0.000387226,0.000387226,0.000387226,43,1,43,43,43
6,80,0.000167456,1,0.000167456,0.000167456,0.000167456,15,1,15,15,15
6,80,0.000388431,1,0.000388431,0.000388431,0.000388431,43,1,43,43,43
6,80,0.0018079,1,0.0018079,0.0018079,0.0018079,187,1,187,187,187
6,80,0.000287858,1,0.000287858,0.000287858,0.000287858,29,1,29,29,29
6,80,0.00028923,1,0.00028923,0.00028923,0.00028923,29,1,29,29,29
6,80,0.000291269,1,0.000291269,0.000291269,0.000291269,29,1,29,29,29
6,80,0.000390421,1,0.000390421,0.000390421,0.000390421,43,1,43,43,43
6,80,0.000388284,1,0.000388284,0.000388284,0.000388284,43,1,43,43,43
6,80,0.000293916,1,0.000293916,0.000293916,0.000293916,29,1,29,29,29
6,80,0.000176181,1,0.000176181,0.000176181,0.000176181,15,1,15,15,15
6,80,0.000734059,1,0.000734059,0.000734059,0.000734059,76,1,76,76,76
6,80,0.00176522,1,0.00176522,0.00176522,0.00176522,187,1,187,187,187
6,80,0.000783909,1,0.000783909,0.000783909,0.000783909,76,1,76,76,76
6,80,0.000985067,1,0.000985067,0.000985067,0.000985067,76,1,76,76,76
6,80,0.000306358,1,0.000306358,0.000306358,0.000306358,29,1,29,29,29
6,80,0.000350186,1,0.000350186,0.000350186,0.000350186,38,1,38,38,38
6,80,0.000673093,1,0.000673093,0.000673093,0.000673093,76,1,76,76,76
6,80,0.000284835,1,0.000284835,0.000284835,0.000284835,29,1,29,29,29
6,80,0.000292437,1,0.000292437,0.000292437,0.000292437,29,1,29,29,29
6,80,0.000656816,1,0.000656816,0.000656816,0.000656816,76,1,76,76,76
6,80,0.000656701,1,0.000656701,0.000656701,0.000656701,76,1,76,76,76
6,80,0.000699113,1,0.000699113,0.000699113,0.000699113,76,1,76,76,76
6,80,0.000411601,1,0.000411601,0.000411601,0.000411601,45,1,45,45,45
6,80,0.000675131,1,0.000675131,0.000675131,0.000675131,76,1,76,76,76
6,80,0.000672864,1,0.000672864,0.000672864,0.000672864,76,1,76,76,76
6,80,0.000381371,1,0.000381371,0.000381371,0.000381371,43,1,43,43,43
6,80,0.00178374,1,0.00178374,0.00178374,0.00178374,187,1,187,187,187
6,80,0.000673904,1,0.000673904,0.000673904,0.000673904,76,1,76,76,76
6,80,0.000704379,1,0.000704379,0.000704379,0.000704379,76,1,76,76,76
6,80,0.000931661,1,0.000931661,0.000931661,0.000931661,76,1,76,76,76
6,80,0.000438607,1,0.000438607,0.000438607,0.000438607,45,1,45,45,45
6,80,0.00068686,1,0.00068686,0.00068686,0.00068686,76,1,76,76,76
6,80,0.000718145,1,0.000718145,0.000718145,0.000718145,76,1,76,76,76
6,80,0.000306361,1,0.000306361,0.000306361,0.000306361,29,1,29,29,29
6,80,0.00016975,1,0.00016975,0.00016975,0.00016975,15,1,15,15,15
6,80,0.000290259,1,0.000290259,0.000290259,0.000290259,29,1,29,29,29
6,80,0.00051304,1,0.00051304,0.00051304,0.00051304,47,1,47,47,47
6,80,0.000396877,1,0.000396877,0.000396877,0.000396877,43,1,43,43,43
6,80,0.00067364,1,0.00067364,0.00067364,0.00067364,76,1,76,76,76
6,80,0.00032292,1,0.00032292,0.00032292,0.00032292,29,1,29,29,29
6,80,0.000733905,1,0.000733905,0.000733905,0.000733905,76,1,76,76,76
6,80,0.00031186,1,0.00031186,0.00031186,0.00031186,29,1,29,29,29
6,80,0.000316868,1,0.000316868,0.000316868,0.000316868,29,1,29,29,29
6,80,0.00035811,1,0.00035811,0.00035811,0.00035811,36,1,36,36,36
6,80,0.000299261,1,0.000299261,0.000299261,0.000299261,29,1,29,29,29
6,80,0.000200895,1,0.000200895,0.000200895,0.000200895,17,1,17,17,17
6,80,0.000168269,1,0.000168269,0.000168269,0.000168269,15,1,15,15,15
6,80,0.000133799,1,0.000133799,0.000133799,0.000133799,10,1,10,10,10
6,80,0.000680999,1,0.000680999,0.000680999,0.000680999,76,1,76,76,76
6,80,0.000689926,1,0.000689926,0.000689926,0.000689926,76,1,76,76,76
6,80,0.000329521,1,0.000329521,0.000329521,0.000329521,29,1,29,29,29
6,80,0.000196302,1,0.000196302,0.000196302,0.000196302,17,1,17,17,17
6,80,0.000417884,1,0.000417884,0.000417884,0.000417884,43,1,43,43,43
6,80,0.000296796,1,0.000296796,0.000296796,0.000296796,29,1,29,29,29
6,80,0.000355354,1,0.000355354,0.000355354,0.000355354,36,1,36,36,36
6,80,0.000416229,1,0.000416229,0.000416229,0.000416229,43,1,43,43,43
6,80,0.000293225,1,0.000293225,0.000293225,0.000293225,29,1,29,29,29
6,80,0.000695389,1,0.000695389,0.000695389,0.000695389,76,1,76,76,76
6,80,0.00181069,1,0.00181069,0.00181069,0.00181069,187,1,187,187,187
6,80,0.000766702,1,0.000766702,0.000766702,0.000766702,76,1,76,76,76
6,80,0.00067752,1,0.00067752,0.00067752,0.00067752,76,1,76,76,76
6,80,0.000720823,1,0.000720823,0.000720823,0.000720823,76,1,76,76,76
6,80,0.000743059,1,0.000743059,0.000743059,0.000743059,76,1,76,76,76
6,80,0.000410728,1,0.000410728,0.000410728,0.000410728,43,1,43,43,43
6,80,0.000171556,1,0.000171556,0.000171556,0.000171556,15,1,15,15,15
6,80,0.000443113,1,0.000443113,0.000443113,0.000443113,45,1,45,45,45
6,80,0.000672726,1,0.000672726,0.000672726,0.000672726,76,1,76,76,76
6,80,0.000417639,1,0.000417639,0.000417639,0.000417639,43,1,43,43,43
6,80,0.000417767,1,0.000417767,0.000417767,0.000417767,45,1,45,45,45
6,80,0.000420171,1,0.000420171,0.000420171,0.000420171,45,1,45,45,45
6,80,0.000398985,1,0.000398985,0.000398985,0.000398985,43,1,43,43,43
6,80,0.000471326,1,0.000471326,0.000471326,0.000471326,43,1,43,43,43
6,80,0.00069207,1,0.00069207,0.00069207,0.00069207,76,1,76,76,76
6,80,0.000179153,1,0.000179153,0.000179153,0.000179153,17,1,17,17,17
6,80,0.000295036,1,0.000295036,0.000295036,0.000295036,29,1,29,29,29
6,80,0.000632314,1,0.000632314,0.000632314,0.000632314,51,1,51,51,51
