n,p,m_total,m_count,m_mean,m_min,m_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max,isteps_total,isteps_count,isteps_mean,isteps_min,isteps_max,inumber_total,inumber_count,inumber_mean,inumber_min,inumber_max
20,10,22,1,22,22,22,206,1,206,206,206,3,1,3,3,3,206,1,206,206,206,3,1,3,3,3
20,10,19,1,19,19,19,204,1,204,204,204,3,1,3,3,3,258,1,258,258,258,2,1,2,2,2
20,10,18,1,18,18,18,204,1,204,204,204,3,1,3,3,3,235,1,235,235,235,3,1,3,3,3
20,10,23,1,23,23,23,205,1,205,205,205,3,1,3,3,3,234,1,234,234,234,3,1,3,3,3
20,10,25,1,25,25,25,209,1,209,209,209,4,1,4,4,4,226,1,226,226,226,4,1,4,4,4
20,10,17,1,17,17,17,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,26,1,26,26,26,205,1,205,205,205,3,1,3,3,3,205,1,205,205,205,3,1,3,3,3
20,10,29,1,29,29,29,208,1,208,208,208,3,1,3,3,3,250,1,250,250,250,3,1,3,3,3
20,10,19,1,19,19,19,203,1,203,203,203,3,1,3,3,3,217,1,217,217,217,2,1,2,2,2
20,10,19,1,19,19,19,202,1,202,202,202,3,1,3,3,3,227,1,227,227,227,3,1,3,3,3
20,10,20,1,20,20,20,204,1,204,204,204,3,1,3,3,3,204,1,204,204,204,3,1,3,3,3
20,10,14,1,14,14,14,202,1,202,202,202,3,1,3,3,3,219,1,219,219,219,2,1,2,2,2
20,10,20,1,20,20,20,200,1,200,200,200,3,1,3,3,3,244,1,244,244,244,3,1,3,3,3
20,10,21,1,21,21,21,201,1,201,201,201,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,14,1,14,14,14,200,1,200,200,200,3,1,3,3,3,236,1,236,236,236,3,1,3,3,3
20,10,19,1,19,19,19,205,1,205,205,205,3,1,3,3,3,255,1,255,255,255,3,1,3,3,3
20,10,18,1,18,18,18,204,1,204,204,204,3,1,3,3,3,258,1,258,258,258,3,1,3,3,3
