n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
30,80,7.3289e-05,1,7.3289e-05,7.3289e-05,7.3289e-05,617,1,617,617,617,14,1,14,14,14
30,80,7.4101e-05,1,7.4101e-05,7.4101e-05,7.4101e-05,604,1,604,604,604,13,1,13,13,13
30,80,7.4252e-05,1,7.4252e-05,7.4252e-05,7.4252e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.2294e-05,1,7.2294e-05,7.2294e-05,7.2294e-05,621,1,621,621,621,14,1,14,14,14
30,80,7.4749e-05,1,7.4749e-05,7.4749e-05,7.4749e-05,622,1,622,622,622,14,1,14,14,14
30,80,7.3359e-05,1,7.3359e-05,7.3359e-05,7.3359e-05,597,1,597,597,597,13,1,13,13,13
30,80,7.5237e-05,1,7.5237e-05,7.5237e-05,7.5237e-05,651,1,651,651,651,15,1,15,15,15
30,80,7.4192e-05,1,7.4192e-05,7.4192e-05,7.4192e-05,629,1,629,629,629,14,1,14,14,14
30,80,7.3209e-05,1,7.3209e-05,7.3209e-05,7.3209e-05,632,1,632,632,632,14,1,14,14,14
30,80,7.4872e-05,1,7.4872e-05,7.4872e-05,7.4872e-05,620,1,620,620,620,14,1,14,14,14
30,80,7.2174e-05,1,7.2174e-05,7.2174e-05,7.2174e-05,617,1,617,617,617,13,1,13,13,13
30,80,7.3134e-05,1,7.3134e-05,7.3134e-05,7.3134e-05,611,1,611,611,611,13,1,13,13,13
30,80,7.5082e-05,1,7.5082e-05,7.5082e-05,7.5082e-05,640,1,640,640,640,14,1,14,14,14
30,80,7.5662e-05,1,7.5662e-05,7.5662e-05,7.5662e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.9176e-05,1,7.9176e-05,7.9176e-05,7.9176e-05,616,1,616,616,616,14,1,14,14,14
30,80,7.2925e-05,1,7.2925e-05,7.2925e-05,7.2925e-05,613,1,613,613,613,13,1,13,13,13
30,80,7.3363e-05,1,7.3363e-05,7.3363e-05,7.3363e-05,641,1,641,641,641,15,1,15,15,15
30,80,7.3551e-05,1,7.3551e-05,7.3551e-05,7.3551e-05,617,1,617,617,617,13,1,13,13,13
30,80,7.3427e-05,1,7.3427e-05,7.3427e-05,7.3427e-05,638,1,638,638,638,15,1,15,15,15
30,80,7.4276e-05,1,7.4276e-05,7.4276e-05,7.4276e-05,619,1,619,619,619,14,1,14,14,14
30,80,7.3486e-05,1,7.3486e-05,7.3486e-05,7.3486e-05,611,1,611,611,611,12,1,12,12,12
30,80,7.3963e-05,1,7.3963e-05,7.3963e-05,7.3963e-05,608,1,608,608,608,13,1,13,13,13
30,80,7.9352e-05,1,7.9352e-05,7.9352e-05,7.9352e-05,634,1,634,634,634,14,1,14,14,14
30,80,7.3709e-05,1,7.3709e-05,7.3709e-05,7.3709e-05,610,1,610,610,610,13,1,13,13,13
30,80,7.3489e-05,1,7.3489e-05,7.3489e-05,7.3489e-05,601,1,601,601,601,13,1,13,13,13
30,80,7.0264e-05,1,7.0264e-05,7.0264e-05,7.0264e-05,616,1,616,616,616,13,1,13,13,13
30,80,7.2038e-05,1,7.2038e-05,7.2038e-05,7.2038e-05,625,1,625,625,625,15,1,15,15,15
30,80,7.0626e-05,1,7.0626e-05,7.0626e-05,7.0626e-05,593,1,593,593,593,12,1,12,12,12
30,80,7.0755e-05,1,7.0755e-05,7.0755e-05,7.0755e-05,615,1,615,615,615,13,1,13,13,13
30,80,7.2826e-05,1,7.2826e-05,7.2826e-05,7.2826e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.3364e-05,1,7.3364e-05,7.3364e-05,7.3364e-05,641,1,641,641,641,16,1,16,16,16
30,80,7.2263e-05,1,7.2263e-05,7.2263e-05,7.2263e-05,608,1,608,608,608,13,1,13,13,13
30,80,7.2355e-05,1,7.2355e-05,7.2355e-05,7.2355e-05,628,1,628,628,628,14,1,14,14,14
30,80,7.1203e-05,1,7.1203e-05,7.1203e-05,7.1203e-05,617,1,617,617,617,14,1,14,14,14
30,80,7.359e-05,1,7.359e-05,7.359e-05,7.359e-05,633,1,633,633,633,15,1,15,15,15
30,80,7.1152e-05,1,7.1152e-05,7.1152e-05,7.1152e-05,605,1,605,605,605,14,1,14,14,14
30,80,7.2007e-05,1,7.2007e-05,7.2007e-05,7.2007e-05,608,1,608,608,608,13,1,13,13,13
