n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
24,20,9.8432e-05,1,9.8432e-05,9.8432e-05,9.8432e-05,329,1,329,329,329,4,1,4,4,4
24,20,0.000163945,1,0.000163945,0.000163945,0.000163945,347,1,347,347,347,4,1,4,4,4
24,20,0.000108394,1,0.000108394,0.000108394,0.000108394,347,1,347,347,347,4,1,4,4,4
24,20,0.000136342,1,0.000136342,0.000136342,0.000136342,339,1,339,339,339,4,1,4,4,4
24,20,0.00010812,1,0.00010812,0.00010812,0.00010812,352,1,352,352,352,4,1,4,4,4
24,20,0.000135137,1,0.000135137,0.000135137,0.000135137,351,1,351,351,351,4,1,4,4,4
24,20,0.000142207,1,0.000142207,0.000142207,0.000142207,371,1,371,371,371,4,1,4,4,4
24,20,0.000309122,1,0.000309122,0.000309122,0.000309122,426,1,426,426,426,4,1,4,4,4
24,20,0.000166843,1,0.000166843,0.000166843,0.000166843,367,1,367,367,367,5,1,5,5,5
24,20,0.000158529,1,0.000158529,0.000158529,0.000158529,353,1,353,353,353,4,1,4,4,4
24,20,8.4421e-05,1,8.4421e-05,8.4421e-05,8.4421e-05,322,1,322,322,322,4,1,4,4,4
24,20,0.000183496,1,0.000183496,0.000183496,0.000183496,380,1,380,380,380,5,1,5,5,5
24,20,7.513e-05,1,7.513e-05,7.513e-05,7.513e-05,314,1,314,314,314,4,1,4,4,4
24,20,0.000104826,1,0.000104826,0.000104826,0.000104826,330,1,330,330,330,4,1,4,4,4
24,20,0.000129953,1,0.000129953,0.000129953,0.000129953,365,1,365,365,365,4,1,4,4,4
24,20,9.9301e-05,1,9.9301e-05,9.9301e-05,9.9301e-05,334,1,334,334,334,4,1,4,4,4
24,20,5.4645e-05,1,5.4645e-05,5.4645e-05,5.4645e-05,310,1,310,310,310,3,1,3,3,3
24,20,6.254e-05,1,6.254e-05,6.254e-05,6.254e-05,318,1,318,318,318,3,1,3,3,3
24,20,0.000205857,1,0.000205857,0.000205857,0.000205857,384,1,384,384,384,5,1,5,5,5
24,20,0.000191738,1,0.000191738,0.000191738,0.000191738,387,1,387,387,387,5,1,5,5,5
24,20,0.000104939,1,0.000104939,0.000104939,0.000104939,337,1,337,337,337,4,1,4,4,4
24,20,9.0849e-05,1,9.0849e-05,9.0849e-05,9.0849e-05,331,1,331,331,331,4,1,4,4,4
24,20,0.000101418,1,0.000101418,0.000101418,0.000101418,332,1,332,332,332,4,1,4,4,4
24,20,7.5272e-05,1,7.5272e-05,7.5272e-05,7.5272e-05,311,1,311,311,311,3,1,3,3,3
24,20,0.000202306,1,0.000202306,0.000202306,0.000202306,389,1,389,389,389,5,1,5,5,5
24,20,0.000164636,1,0.000164636,0.000164636,0.000164636,378,1,378,378,378,5,1,5,5,5
24,20,0.000110859,1,0.000110859,0.000110859,0.000110859,368,1,368,368,368,4,1,4,4,4
24,20,0.000101872,1,0.000101872,0.000101872,0.000101872,343,1,343,343,343,4,1,4,4,4
24,20,9.1864e-05,1,9.1864e-05,9.1864e-05,9.1864e-05,324,1,324,324,324,4,1,4,4,4
24,20,0.000115126,1,0.000115126,0.000115126,0.000115126,359,1,359,359,359,4,1,4,4,4
24,20,8.2885e-05,1,8.2885e-05,8.2885e-05,8.2885e-05,321,1,321,321,321,4,1,4,4,4
24,20,9.4887e-05,1,9.4887e-05,9.4887e-05,9.4887e-05,356,1,356,356,356,4,1,4,4,4
24,20,0.000106302,1,0.000106302,0.000106302,0.000106302,349,1,349,349,349,4,1,4,4,4
24,20,7.2793e-05,1,7.2793e-05,7.2793e-05,7.2793e-05,322,1,322,322,322,4,1,4,4,4
24,20,0.000174115,1,0.000174115,0.000174115,0.000174115,365,1,365,365,365,4,1,4,4,4
24,20,0.000137857,1,0.000137857,0.000137857,0.000137857,353,1,353,353,353,4,1,4,4,4
24,20,6.7551e-05,1,6.7551e-05,6.7551e-05,6.7551e-05,338,1,338,338,338,4,1,4,4,4
24,20,0.000144983,1,0.000144983,0.000144983,0.000144983,349,1,349,349,349,4,1,4,4,4
24,20,0.000126931,1,0.000126931,0.000126931,0.000126931,353,1,353,353,353,4,1,4,4,4
24,20,0.000108911,1,0.000108911,0.000108911,0.000108911,353,1,353,353,353,5,1,5,5,5
24,20,9.5522e-05,1,9.5522e-05,9.5522e-05,9.5522e-05,325,1,325,325,325,4,1,4,4,4
24,20,0.000146272,1,0.000146272,0.000146272,0.000146272,380,1,380,380,380,4,1,4,4,4
24,20,8.9967e-05,1,8.9967e-05,8.9967e-05,8.9967e-05,350,1,350,350,350,4,1,4,4,4
24,20,0.000180987,1,0.000180987,0.000180987,0.000180987,370,1,370,370,370,5,1,5,5,5
24,20,7.9369e-05,1,7.9369e-05,7.9369e-05,7.9369e-05,331,1,331,331,331,4,1,4,4,4
24,20,9.0517e-05,1,9.0517e-05,9.0517e-05,9.0517e-05,342,1,342,342,342,4,1,4,4,4
24,20,0.000193985,1,0.000193985,0.000193985,0.000193985,380,1,380,380,380,5,1,5,5,5
