n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,lower_bound_total,lower_bound_count,lower_bound_mean,lower_bound_min,lower_bound_max,upper_bound_total,upper_bound_count,upper_bound_mean,upper_bound_min,upper_bound_max,number_total,number_count,number_mean,number_min,number_max,match_tries,match_hits,match_pct,edge_threshold_tries,edge_threshold_hits,edge_threshold_pct,small_degree_tries,small_degree_hits,small_degree_pct,neighborhood_subset_tries,neighborhood_subset_hits,neighborhood_subset_pct,common_neighbors_tries,common_neighbors_hits,common_neighbors_pct,bounding_tries,bounding_hits,bounding_pct
26,10,33,1,33,33,33,0.000262226,1,0.000262226,0.000262226,0.000262226,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,45,1,45,45,45,0.000291494,1,0.000291494,0.000291494,0.000291494,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,39,1,39,39,39,0.0280347,1,0.0280347,0.0280347,0.0280347,1033,1,1033,1033,1033,45,1,45,45,45,2,1,2,2,2,3,1,3,3,3,4,1,4,4,4,3,1,3,3,3,1,0,0,179,34,19,145,101,69.7,44,34,77.3,10,0,0,10,0,0
26,10,24,1,24,24,24,0.0471899,1,0.0471899,0.0471899,0.0471899,6077,1,6077,6077,6077,204,1,204,204,204,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,880,72,8.2,808,204,25.2,604,472,78.1,132,132,100,0,0,0
26,10,36,1,36,36,36,0.000237143,1,0.000237143,0.000237143,0.000237143,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,33,1,33,33,33,0.0593735,1,0.0593735,0.0593735,0.0593735,6920,1,6920,6920,6920,127,1,127,127,127,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,980,33,3.4,947,115,12.1,832,738,88.7,94,94,100,0,0,0
26,10,43,1,43,43,43,0.000314108,1,0.000314108,0.000314108,0.000314108,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,36,1,36,36,36,0.000264761,1,0.000264761,0.000264761,0.000264761,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,31,1,31,31,31,0.0175864,1,0.0175864,0.0175864,0.0175864,274,1,274,274,274,12,1,12,12,12,2,1,2,2,2,3,1,3,3,3,4,1,4,4,4,3,1,3,3,3,1,0,0,47,8,17,39,32,82.1,7,4,57.1,3,0,0,3,2,66.7
26,10,28,1,28,28,28,0.000227407,1,0.000227407,0.000227407,0.000227407,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
