n,p,quick_total,quick_count,quick_mean,quick_min,quick_max,wang_total,wang_count,wang_mean,wang_min,wang_max,zykov_total,zykov_count,zykov_mean,zykov_min,zykov_max
18,40,3.72113,1,3.72113,3.72113,3.72113,3.71778,1,3.71778,3.71778,3.71778,3.62572,1,3.62572,3.62572,3.62572
18,40,2.80848,1,2.80848,2.80848,2.80848,2.8065,1,2.8065,2.8065,2.8065,2.78988,1,2.78988,2.78988,2.78988
18,40,3.16675,1,3.16675,3.16675,3.16675,3.15531,1,3.15531,3.15531,3.15531,3.12017,1,3.12017,3.12017,3.12017
18,40,6.62219,1,6.62219,6.62219,6.62219,6.57626,1,6.57626,6.57626,6.57626,6.52044,1,6.52044,6.52044,6.52044
18,40,0.081297,1,0.081297,0.081297,0.081297,0.0667513,1,0.0667513,0.0667513,0.0667513,0.00908181,1,0.00908181,0.00908181,0.00908181
18,40,0.283025,1,0.283025,0.283025,0.283025,0.276544,1,0.276544,0.276544,0.276544,0.242811,1,0.242811,0.242811,0.242811
18,40,0.36804,1,0.36804,0.36804,0.36804,0.34377,1,0.34377,0.34377,0.34377,0.295415,1,0.295415,0.295415,0.295415
18,40,0.373521,1,0.373521,0.373521,0.373521,0.362105,1,0.362105,0.362105,0.362105,0.279259,1,0.279259,0.279259,0.279259
18,40,0.0829801,1,0.0829801,0.0829801,0.0829801,0.0798662,1,0.0798662,0.0798662,0.0798662,0.0505596,1,0.0505596,0.0505596,0.0505596
18,40,0.250393,1,0.250393,0.250393,0.250393,0.185981,1,0.185981,0.185981,0.185981,0.115005,1,0.115005,0.115005,0.115005
18,40,0.929923,1,0.929923,0.929923,0.929923,0.889759,1,0.889759,0.889759,0.889759,0.75534,1,0.75534,0.75534,0.75534
18,40,1.61552,1,1.61552,1.61552,1.61552,1.61367,1,1.61367,1.61367,1.61367,1.57969,1,1.57969,1.57969,1.57969
18,40,0.470204,1,0.470204,0.470204,0.470204,0.467037,1,0.467037,0.467037,0.467037,0.432401,1,0.432401,0.432401,0.432401
18,40,0.0847763,1,0.0847763,0.0847763,0.0847763,0.0777582,1,0.0777582,0.0777582,0.0777582,0.0208544,1,0.0208544,0.0208544,0.0208544
18,40,0.173173,1,0.173173,0.173173,0.173173,0.155387,1,0.155387,0.155387,0.155387,0.123593,1,0.123593,0.123593,0.123593
18,40,0.168515,1,0.168515,0.168515,0.168515,0.134412,1,0.134412,0.134412,0.134412,0.0571386,1,0.0571386,0.0571386,0.0571386
18,40,0.24545,1,0.24545,0.24545,0.24545,0.18157,1,0.18157,0.18157,0.18157,0.0926391,1,0.0926391,0.0926391,0.0926391
18,40,0.294964,1,0.294964,0.294964,0.294964,0.288363,1,0.288363,0.288363,0.288363,0.262076,1,0.262076,0.262076,0.262076
18,40,0.919757,1,0.919757,0.919757,0.919757,0.907085,1,0.907085,0.907085,0.907085,0.847755,1,0.847755,0.847755,0.847755
18,40,7.39772,1,7.39772,7.39772,7.39772,7.39464,1,7.39464,7.39464,7.39464,7.2904,1,7.2904,7.2904,7.2904
18,40,1.73984,1,1.73984,1.73984,1.73984,1.73718,1,1.73718,1.73718,1.73718,1.69765,1,1.69765,1.69765,1.69765
18,40,0.104162,1,0.104162,0.104162,0.104162,0.0695791,1,0.0695791,0.0695791,0.0695791,0.0111073,1,0.0111073,0.0111073,0.0111073
18,40,0.133308,1,0.133308,0.133308,0.133308,0.118321,1,0.118321,0.118321,0.118321,0.0495622,1,0.0495622,0.0495622,0.0495622
18,40,0.058592,1,0.058592,0.058592,0.058592,0.047964,1,0.047964,0.047964,0.047964,0.0183909,1,0.0183909,0.0183909,0.0183909
18,40,0.121672,1,0.121672,0.121672,0.121672,0.101818,1,0.101818,0.101818,0.101818,0.0521202,1,0.0521202,0.0521202,0.0521202
18,40,1.89988,1,1.89988,1.89988,1.89988,1.89749,1,1.89749,1.89749,1.89749,1.86695,1,1.86695,1.86695,1.86695
18,40,0.661619,1,0.661619,0.661619,0.661619,0.658811,1,0.658811,0.658811,0.658811,0.609581,1,0.609581,0.609581,0.609581
18,40,0.0704318,1,0.0704318,0.0704318,0.0704318,0.0591812,1,0.0591812,0.0591812,0.0591812,0.00606369,1,0.00606369,0.00606369,0.00606369
18,40,0.107605,1,0.107605,0.107605,0.107605,0.105212,1,0.105212,0.105212,0.105212,0.0726585,1,0.0726585,0.0726585,0.0726585
18,40,0.657936,1,0.657936,0.657936,0.657936,0.639728,1,0.639728,0.639728,0.639728,0.574464,1,0.574464,0.574464,0.574464
18,40,0.159538,1,0.159538,0.159538,0.159538,0.157627,1,0.157627,0.157627,0.157627,0.140317,1,0.140317,0.140317,0.140317
18,40,8.51546,1,8.51546,8.51546,8.51546,8.5099,1,8.5099,8.5099,8.5099,8.44358,1,8.44358,8.44358,8.44358
18,40,0.0454635,1,0.0454635,0.0454635,0.0454635,0.0328081,1,0.0328081,0.0328081,0.0328081,0.0100518,1,0.0100518,0.0100518,0.0100518
18,40,0.192263,1,0.192263,0.192263,0.192263,0.16586,1,0.16586,0.16586,0.16586,0.0124722,1,0.0124722,0.0124722,0.0124722
18,40,0.0678508,1,0.0678508,0.0678508,0.0678508,0.0653654,1,0.0653654,0.0653654,0.0653654,0.0411232,1,0.0411232,0.0411232,0.0411232
18,40,0.196417,1,0.196417,0.196417,0.196417,0.159854,1,0.159854,0.159854,0.159854,0.0690424,1,0.0690424,0.0690424,0.0690424
18,40,0.106263,1,0.106263,0.106263,0.106263,0.102749,1,0.102749,0.102749,0.102749,0.0576513,1,0.0576513,0.0576513,0.0576513
